System,T(K),GammaInf,Ref,1,2,3,4,5,6
ethanol/n-heptane,298,49.01,12,26.4,29.15,8.05,26.58,34.33,48.46
ethanol/n-heptane,313,39.94,10,21.88,2.34,7.19,22.13,28.21,32.79
ethanol/n-heptane,333,16.27,12,17.51,16.3,6.28,17.05,2.36,20.44
ethanol/n-heptane,373,7.3,12,12.1,9.69,5.03,9.5,15.2,8.96
ethanol/n-hexadecane,298,40,10,17.02,18.79,5.19,20.42,28.24,30.27
ethanol/n-hexadecane,333,13.5,10,11.29,10.51,4.05,13.1,18.39,12.77
n-propanol/n-heptane,333,16,11,14.48,13.54,4.63,13.82,17.46,17.76
n-propanol/n-heptane,353,8.95,11,11.97,10.36,4.37,10.59,14.31,11.76
n-butanol/n-heptane,298,37.1,10,18.14,19.98,5.74,17.58,21.51,36.2
n-butanol/n-heptane,333,13.6,10,12.26,11.49,4.59,11.58,14.27,15.8
n-butanol/n-heptane,353,9.3,11,10.19,8.87,4.13,8.97,11.75,10.59
n-butanol/n-heptane,373,5.62,11,8.66,7.08,3.78,6.86,9.91,7.39
n-pentanol/n-nonane,353,9.32,11,8.54,7.47,3.56,7.59,9.91,8.53
n-pentanol/n-nonane,373,5.61,11,7.29,6,3.27,5.88,8.39,6.04
ethanol/cyclohexane,313,29.9,10,28.05,28.69,9.2,23.41,34.24,45.65
ethanol/cyclohexane,323,24.3,16,24.97,24.33,8.57,20.58,30.33,33.45
ethanol/cyclohexane,333,19.1,16,22.39,20.86,8.03,18,27,25.02
ethanol/cyclohexane,343,15.1,16,20.23,18.09,7.55,15.6,24.35,19.16
ethanol/cyclohexane,353,11.7,16,18.41,15.84,7.14,13.62,22.07,15.01
n-butanol/cyclohexane,313,28.13,16,17.9,18.34,6.11,15.07,20.66,32.96
n-butanol/cyclohexane,323,21.46,16,16.02,15.68,5.73,13.35,18.39,24.34
n-butanol/cyclohexane,333,16.47,16,14.45,13.55,5.41,11.79,16.5,18.4
n-butanol/cyclohexane,343,13.31,16,13.13,11.85,5.12,10.4,14.93,14.27
n-butanol/cyclohexane,353,11.05,16,12.01,10.47,4.87,9.15,13.6,11.35
n-pentanol/cyclohexane,313,22.11,16,14.67,15.03,5.12,12.63,16.95,28.85
n-pentanol/cyclohexane,323,16.73,16,13.15,12.9,4.82,11.22,15.12,21.35
n-pentanol/cyclohexane,333,12.77,16,11.89,11.19,4.56,9.94,13.6,16.19
n-pentanol/cyclohexane,343,10.48,16,10.83,9.82,4.34,8.8,12.33,12.61
n-pentanol/cyclohexane,353,8.12,16,9.94,8.7,4.14,7.78,11.25,10.08
n-pentane/ethanol,298,9,10,,,,,,
n-pentane/ethanol,323,8.3,15,,,,,,
n-pentane/ethanol,343,7.8,15,,,,,,
n-heptane/ethanol,313,15.34,16,9.34,9.23,8.37,10.85,11.77,11.64
n-heptane/ethanol,333,14.21,12,8.87,8.54,7.8,9.9,11.2,10.33
n-decane/ethanol,298,28,10,17.52,17.64,15.42,24.56,29.76,21.76
n-decane/ethanol,323,20.2,10,16.05,15.52,13.63,21.81,27.37,18.43
n-decane/ethanol,343,17.5,10,14.97,13.92,12.39,18.66,25.58,15.21
n-decane/ethanol,363,15,10,13.96,12.43,11.31,14.84,23.89,11.89
n-hexadecane/ethanol,298,77,10,46.65,47.15,38.34,109.54,170.93,65.89
n-hexadecane/ethanol,323,46,10,40.8,38.72,31.71,91.23,150.25,50.97
n-hexadecane/ethanol,343,33.5,10,35.62,32.75,27.39,71.78,135.35,37.9
n-hexadecane/ethanol,363,27.5,10,32.88,27.52,23.78,50.48,121.9,25.89
n-heptane/n-propanol,333,6.34,11,5.78,5.62,2.74,6.05,6.46,6.6
n-heptane/n-propanol,353,5.89,11,5.53,5.25,2.76,5.47,6.19,5.9
n-heptane/n-butanol,353,5.13,11,4.12,3.94,3.34,4.02,4.36,4.4
n-heptane/n-butanol,373,4.76,11,3.95,3.7,3.19,3.6,4.2,4.01
n-hexane/chloroform,320,1.79,15
n-hexane/chloroform,332,1.66,15
n-hexane/carbon tetrachloride,293,1.33,15
n-heptane/carbon tetrachloride,328,1.27,15
n-heptane/carbon tetrachloride,349,1.15,15
n-hexane/DMF,293,19.11,7
n-hexane/DMF,333,12,7
n-octane/DMF,293,32.78,7
n-octane/DMF,333,18.39,7
n-nonane/DMF,293,38.98,7
n-nonane/DMF,333,23.1,7
n-decane/DMF,333,24.8,7
n-heptane/acetic acid,298,23.5,6
n-heptane/acetic acid,318,20.49,6
n-heptane/propionic acid,298,6.27,6
n-heptane/propionic acid,318,6.75,6
n-hexane/acetone,298,6.62,1,5.67,5.95,6.77,6.55,7.81,6.11
n-hexane/acetone,303,6.19,1,5.65,5.75,6.8287037037037e-05,6.26,7.98611111111111e-05,5.85
n-hexane/acetone,308,6.06,1,5.46,5.55,6.49,5.99,7.44,5.61
n-hexane/acetone,313,5.61,1,5.36,5.37,6.35,5.74,7.27,5.38
n-hexane/acetone,318,5.42,1,5.27,5.19,6.2,5.51,7.11,5.17
n-heptane/acetone,298,8.72,1,6.65,7.03,8.14,8.21,10.15,7.11
n-heptane/acetone,303,8.26,1,6.51,6.75,7.94,7.8,9.68,6.78
n-heptane/acetone,313,7.23,1,6.24,6.24,7.57,7.06,9.36,6.16
n-heptane/acetone,333,4.6,10,5.76,5.38,6.91,5.89,6.46,5.16
n-heptane/acetone,363,3.6,10,5.15,4.38,6.09,4.65,7.38,4.05
n-octane/acetone,308,8.91,1,7.31,7.47,9.12,9.13,12.36,7.44
n-octane/acetone,318,7.74,1,6.98,6.85,8.65,8.19,11.65,6.7
n-pentane/2-butanone,298,3.66,10,3.38,3.41,3.71,6.42,3.35648148148148e-05,3.86
n-pentane/2-butanone,333,2.99,10,3.06,2.92,3.36,2.83,3.31,3.22
n-pentane/2-butanone,363,2.67,10,2.87,2.6,3.11,2.47,3.06,2.81
n-heptane/2-butanone,298,4.35,10,4.57,4.51388888888889e-05,5.18,4.87,5.46,4.92
n-heptane/2-butanone,333,3.46,10,4.04,3.77,4.53,3.79,4.74,3.86
n-heptane/2-butanone,363,2.87,10,3.68,3.23,4.09,3.16,4.26,3.22
n-decane/2-butanone,298,6.04,10,6.41,6.53,7.61,7.93,9.5,7.02
n-decane/2-butanone,333,3.95,10,5.42,4.94,6.34,5,7.83,5.03
n-decane/2-butanone,363,3.16,10,4.77,3.99,5.51,4.39,6.77,3.92
n-pentane/phenol,298,12.7,15
n-pentane/phenol,307,12,15
n-pentane/phenol,323,10.9,15
n-hexane/phenol,298,15.2,15
n-hexane/phenol,303,14.1,15
n-hexane/phenol,318,13.89,15
n-hexane/phenol,323,13,15
n-hexane/phenol,343,12.85,15
n-hexane/phenol,358,12.1,15
n-hexane/phenol,373,11.69,15
n-heptane/phenol,298,18.8,15
n-heptane/phenol,307,17.3,15
n-heptane/phenol,323,15.39,15
n-heptane/phenol,343,14.83,15
n-heptane/phenol,358,13.46,15
n-heptane/phenol,373,12.81,15
n-octane/phenol,313,24.61,15
n-octane/phenol,321,23.2,15
n-octane/phenol,328,19.98,15
n-octane/phenol,343,16.96,15
n-octane/phenol,358,15.1,15
n-octane/phenol,373,14.15,15
n-nonane/phenol,313,28.19,15
n-nonane/phenol,321,26.79,15
2-pentene/DMF,293,7,7
2-pentene/DMF,313,6.3,7
2-pentene/DMF,333,5.7,7
1-hexene/DMF,293,9.6,7
1-hexene/DMF,313,7.7,7
1-hexene/DMF,333,6.7,7
1-heptene/DMF,293,12.2,7
1-heptene/DMF,313,8.9,7
1-heptene/DMF,333,8.1,7
1-octene/DMF,293,15.5,7
1-octene/DMF,313,12.6,7
1-octene/DMF,333,10.2,7
1-decene/DMF,293,27.19,7
1-decene/DMF,313,23.1,7
1-decene/DMF,333,17.8,7
chloroform/n-hexane,301,1.58,15
chloroform/n-hexane,315,1.53,15
chloroform/n-hexane,332,1.48,15
